"Entity";"Code";"Year";"waste";"Waste.total.or.missmanaged";"totalPop";"gdp";"wasteYear"
"51";"Grenada";"GRD";2010;0.064;"missmanaged";104487;"111.779.997.155.594";23.36
"52";"Guatemala";"GTM";2010;0.105;"missmanaged";14388929;"67.140.635.955.465";38.325
"53";"Guinea";"GIN";2010;0.025;"missmanaged";9981590;"157.354.495.756.823";9.125
"54";"Guinea-Bissau";"GNB";2010;0.046;"missmanaged";1515224;"140.036.329.312.665";16.79
"55";"Guyana";"GUY";2010;0.224;"missmanaged";754493;"584.785.725.499.679";81.76
"56";"Haiti";"HTI";2010;0.044;"missmanaged";9993247;"150.203.271.141.224";16.06
"57";"Honduras";"HND";2010;0.079;"missmanaged";7600524;"397.118.299.352.727";28.835
"58";"Hong Kong";"HKG";2010;0.01;"missmanaged";7053189;"481.077.086.333.279";3.65
"59";"Iceland";"ISL";2010;0.006;"missmanaged";320136;"389.780.055.953.415";2.19
"60";"India";"IND";2010;0.009;"missmanaged";1224614327;"440.469.700.530.387";3.285
"61";"Indonesia";"IDN";2010;0.047;"missmanaged";239870937;"843.349.735.678.452";17.155
"62";"Iran";"IRN";2010;0.074;"missmanaged";73973630;"179.428.328.426.143";27.01
"63";"Iraq";"IRQ";2010;0.067;"missmanaged";31671591;"127.175.975.271.684";24.455
"64";"Ireland";"IRL";2010;0.009;"missmanaged";4469900;"440.304.141.487.055";3.285
"65";"Israel";"ISR";2010;0.008;"missmanaged";7418400;"297.430.058.727.916";2.92
"66";"Italy";"ITA";2010;0.003;"missmanaged";60550848;"362.011.615.672.134";1.095
"67";"Jamaica";"JAM";2010;0.01;"missmanaged";2741052;"799.601.948.795.873";3.65
"68";"Japan";"JPN";2010;0.003;"missmanaged";126535920;"357.497.566.788.784";1.095
"69";"Jordan";"JOR";2010;0.086;"missmanaged";6187227;"947.276.832.624.669";31.39
"70";"Kenya";"KEN";2010;0.023;"missmanaged";40512682;"247.601.074.216.401";8.395
"71";"Kiribati";"KIR";2010;0.088;"missmanaged";99546;"173.153.862.650.466";32.12
"72";"Kuwait";"KWT";2010;0.014;"missmanaged";2736732;"75.204.145.116.617";5.11
"73";"Latvia";"LVA";2010;0.02;"missmanaged";2252060;"182.519.532.813.473";7.3
"74";"Lebanon";"LBN";2010;0.034;"missmanaged";4227597;"164.517.598.336.606";12.41
"75";"Liberia";"LBR";2010;0.072;"missmanaged";3994122;"699.653.721.510.599";26.28
"76";"Libya";"LBY";2010;0.036;"missmanaged";6355112;"296.302.221.484.622";13.14
"77";"Lithuania";"LTU";2010;0.021;"missmanaged";3323611;"210.706.343.301.646";7.665
"78";"Macao";"MAC";2010;0.007;"missmanaged";543656;"981.843.365.009.534";2.555
"79";"Madagascar";"MDG";2010;0.013;"missmanaged";20713819;"138.568.507.168.039";4.745
"80";"Malaysia";"MYS";2010;0.112;"missmanaged";28401017;"211.072.679.372.523";40.88
"81";"Maldives";"MDV";2010;0.22;"missmanaged";315885;"120.055.046.183.167";80.3
"82";"Malta";"MLT";2010;0.018;"missmanaged";416515;"283.647.993.209.208";6.57
"83";"Marshall Islands";"MHL";2010;0.15;"missmanaged";54038;"347.915.530.340.683";54.75
"84";"Mauritania";"MRT";2010;0.038;"missmanaged";3459773;"331.697.478.042.489";13.87
"85";"Mauritius";"MUS";2010;0.122;"missmanaged";1299172;"159.384.192.089.782";44.53
"86";"Mexico";"MEX";2010;0.012;"missmanaged";113423047;"157.159.721.449.501";4.38
"87";"Micronesia (country)";"FSM";2010;0.085;"missmanaged";NA;"329.765.693.360.804";31.025
"88";"Montenegro";"MNE";2010;0.046;"missmanaged";631490;"140.345.845.640.087";16.79
"89";"Morocco";"MAR";2010;0.049;"missmanaged";31951412;"644.325.361.319.481";17.885
"90";"Mozambique";"MOZ";2010;0.013;"missmanaged";23390765;"917.763.832.040.531";4.745
"91";"Myanmar";"MMR";2010;0.066;"missmanaged";47963012;"372.121.144.009.279";24.09
"92";"Namibia";"NAM";2010;0.097;"missmanaged";2283289;"846.084.736.812.378";35.405
"93";"Nauru";"NRU";2010;0.099;"missmanaged";10255;"659.243.683.574.598";36.135
