Entity;Code;Year;Per capita mismanaged plastic waste (kilograms per person per day);Waste total or missmanaged;Total population (Gapminder);GDP per capita, PPP (constant 2011 international $) (constant 2011 international $)
Mexico;MEX;2010;0.012;missmanaged;113423047;157.159.721.449.501
Micronesia (country);FSM;2010;0.085;missmanaged;NA;329.765.693.360.804
Montenegro;MNE;2010;0.046;missmanaged;631490;140.345.845.640.087
Morocco;MAR;2010;0.049;missmanaged;31951412;644.325.361.319.481
Mozambique;MOZ;2010;0.013;missmanaged;23390765;917.763.832.040.531
Myanmar;MMR;2010;0.066;missmanaged;47963012;372.121.144.009.279
Namibia;NAM;2010;0.097;missmanaged;2283289;846.084.736.812.378
Nauru;NRU;2010;0.099;missmanaged;10255;659.243.683.574.598
Netherlands;NLD;2010;0.008;missmanaged;16612988;455.246.621.425.733
New Zealand;NZL;2010;0.007;missmanaged;4368136;321.192.155.430.773
Nicaragua;NIC;2010;0.066;missmanaged;5788163;402.871.208.738.128
Nigeria;NGA;2010;0.085;missmanaged;158423182;515.015.881.822.763
Norway;NOR;2010;0.006;missmanaged;4883111;623.504.107.068.751
Oman;OMN;2010;0.005;missmanaged;2782435;453.358.525.168.436
Pakistan;PAK;2010;0.09;missmanaged;173593383;428.360.731.163.635
Palau;PLW;2010;0.084;missmanaged;20472;118.465.739.334.318
Palestine;PSE;2010;0.005;missmanaged;NA;417.274.568.921.544
Panama;PAN;2010;0.029;missmanaged;3516820;156.285.922.438.738
Papua New Guinea;PNG;2010;0.09;missmanaged;6858266;319.158.041.028.301
Peru;PER;2010;0.039;missmanaged;29076512;995.655.663.668.307
Philippines;PHL;2010;0.062;missmanaged;93260798;559.683.728.794.962
Poland;POL;2010;0.013;missmanaged;38276660;217.706.444.359.772
Portugal;PRT;2010;0.005;missmanaged;10675572;272.384.606.724.422
Puerto Rico;PRI;2010;0.011;missmanaged;3749009;339.240.540.101.397
Qatar;QAT;2010;0.003;missmanaged;1758793;125.140.838.348.001
Romania;ROU;2010;0.011;missmanaged;21486371;175.532.832.966.444
Russia;RUS;2010;0.02;missmanaged;142958164;231.077.852.212.759
Saint Kitts and Nevis;KNA;2010;0.054;missmanaged;52402;21.412.201.453.108
Saint Lucia;LCA;2010;0.113;missmanaged;174267;121.238.351.390.475
Saint Vincent and the Grenadines;VCT;2010;0.051;missmanaged;109333;991.557.761.891.195
Samoa;WSM;2010;0.084;missmanaged;183081;539.989.309.631.838
