Entity;Code;Year;Per capita plastic waste (kilograms per person per day);Waste total and missmanaged;GDP per capita, PPP (constant 2011 international $) (Rate);Total population (Gapminder)
Micronesia (country);FSM;2010;0.085;missmanaged;329.765.693.360.804;NA
Montenegro;MNE;2010;0.046;missmanaged;140.345.845.640.087;631490
Morocco;MAR;2010;0.049;missmanaged;644.325.361.319.481;31951412
Mozambique;MOZ;2010;0.013;missmanaged;917.763.832.040.531;23390765
Myanmar;MMR;2010;0.066;missmanaged;372.121.144.009.279;47963012
Namibia;NAM;2010;0.097;missmanaged;846.084.736.812.378;2283289
Nauru;NRU;2010;0.099;missmanaged;659.243.683.574.598;10255
Netherlands;NLD;2010;0.008;missmanaged;455.246.621.425.733;16612988
New Zealand;NZL;2010;0.007;missmanaged;321.192.155.430.773;4368136
Nicaragua;NIC;2010;0.066;missmanaged;402.871.208.738.128;5788163
Nigeria;NGA;2010;0.085;missmanaged;515.015.881.822.763;158423182
Norway;NOR;2010;0.006;missmanaged;623.504.107.068.751;4883111
Oman;OMN;2010;0.005;missmanaged;453.358.525.168.436;2782435
Pakistan;PAK;2010;0.09;missmanaged;428.360.731.163.635;173593383
Palau;PLW;2010;0.084;missmanaged;118.465.739.334.318;20472
Palestine;PSE;2010;0.005;missmanaged;417.274.568.921.544;NA
Panama;PAN;2010;0.029;missmanaged;156.285.922.438.738;3516820
Papua New Guinea;PNG;2010;0.09;missmanaged;319.158.041.028.301;6858266
Peru;PER;2010;0.039;missmanaged;995.655.663.668.307;29076512
Philippines;PHL;2010;0.062;missmanaged;559.683.728.794.962;93260798
Poland;POL;2010;0.013;missmanaged;217.706.444.359.772;38276660
Portugal;PRT;2010;0.005;missmanaged;272.384.606.724.422;10675572
Puerto Rico;PRI;2010;0.011;missmanaged;339.240.540.101.397;3749009
Qatar;QAT;2010;0.003;missmanaged;125.140.838.348.001;1758793
Romania;ROU;2010;0.011;missmanaged;175.532.832.966.444;21486371
Russia;RUS;2010;0.02;missmanaged;231.077.852.212.759;142958164
Saint Kitts and Nevis;KNA;2010;0.054;missmanaged;21.412.201.453.108;52402
Saint Lucia;LCA;2010;0.113;missmanaged;121.238.351.390.475;174267
Saint Vincent and the Grenadines;VCT;2010;0.051;missmanaged;991.557.761.891.195;109333
Samoa;WSM;2010;0.084;missmanaged;539.989.309.631.838;183081
Sao Tome and Principe;STP;2010;0.085;missmanaged;264.151.394.847.294;165397
Saudi Arabia;SAU;2010;0.016;missmanaged;454.212.284.797.446;27448086
Senegal;SEN;2010;0.086;missmanaged;218.399.505.141.766;12433728
Seychelles;SYC;2010;0.139;missmanaged;203.651.189.331.513;86518
Sierra Leone;SLE;2010;0.035;missmanaged;119.998.985.027.502;5867536
Singapore;SGP;2010;0.004;missmanaged;721.158.395.014.504;5086418
Slovenia;SVN;2010;0.005;missmanaged;286.783.726.303.687;2029680
Solomon Islands;SLB;2010;0.09;missmanaged;187.136.935.209.356;538148
South Africa;ZAF;2010;0.134;missmanaged;118.878.050.343.927;50132817
South Korea;KOR;2010;0.001;missmanaged;303.521.048.190.303;48183584
Spain;ESP;2010;0.006;missmanaged;325.070.939.660.629;46076989
Sri Lanka;LKA;2010;0.299;missmanaged;852.957.144.219.453;20859949
Sudan;SDN;2010;0.083;missmanaged;336.609.626.107.549;34136520
Suriname;SUR;2010;0.027;missmanaged;142.118.775.163.255;524636
Sweden;SWE;2010;0.001;missmanaged;429.425.625.032.962;9379687
Tanzania;TZA;2010;0.02;missmanaged;209.058.322.467.574;44841226
Thailand;THA;2010;0.108;missmanaged;134.865.624.149.548;69122234
Togo;TGO;2010;0.049;missmanaged;12.082.812.098.328;6027798
Tonga;TON;2010;0.176;missmanaged;498.419.362.951.029;104058
Trinidad and Tobago;TTO;2010;0.19;missmanaged;312.609.070.471.763;1341465
Tunisia;TUN;2010;0.088;missmanaged;104.363.655.998.628;10480934
Turkey;TUR;2010;0.039;missmanaged;179.592.591.065.745;72752325
Tuvalu;TUV;2010;0.108;missmanaged;298.644.985.588.888;9827
Ukraine;UKR;2010;0.052;missmanaged;782.449.845.171.438;45448329
United Arab Emirates;ARE;2010;0.004;missmanaged;572.326.180.757.649;7511690
United Kingdom;GBR;2010;0.004;missmanaged;363.669.831.782.522;62035570
United States;USA;2010;0.007;missmanaged;493.741.788.851.797;310383948
Uruguay;URY;2010;0.024;missmanaged;170.824.046.586.765;3368786
Vanuatu;VUT;2010;0.245;missmanaged;294.803.293.729.183;239651
Venezuela;VEN;2010;0.017;missmanaged;165.449.720.552.598;28979857
Vietnam;VNM;2010;0.09;missmanaged;440.816.861.192.198;87848445
Yemen;YEM;2010;0.077;missmanaged;44.787.435.991.429;NA
Albania;ALB;2010;0.069;total;992.718.184.117.512;3204284
Algeria;DZA;2010;0.144;total;128.706.026.985.154;35468208
Angola;AGO;2010;0.062;total;589.768.284.059.848;19081912
Antigua and Barbuda;ATG;2010;0.66;total;192.127.201.307.541;88710
Argentina;ARG;2010;0.183;total;187.120.630.773.436;40412376
Australia;AUS;2010;0.112;total;414.640.400.696.359;22268384
Bahamas;BHS;2010;0.39;total;292.219.911.816.149;342877
Bahrain;BHR;2010;0.132;total;405.705.356.928.307;1261835
Bangladesh;BGD;2010;0.034;total;244.272.888.765.696;148692131
Barbados;BRB;2010;0.57;total;164.179.624.523.108;273331
Belgium;BEL;2010;0.08;total;410.859.189.401.366;10712066
Belize;BLZ;2010;0.172;total;787.680.958.597.644;311627
Benin;BEN;2010;0.043;total;181.877.846.075.906;8849892
Bermuda;BMU;2010;0.252;total;563.950.078.003.539;64941
Bosnia and Herzegovina;BIH;2010;0.144;total;972.034.217.718.095;3760149
Brazil;BRA;2010;0.165;total;145.375.671.930.903;194946470
Brunei;BRN;2010;0.026;total;805.528.644.713.138;398920
Bulgaria;BGR;2010;0.154;total;152.832.914.751.664;7494332
Cambodia;KHM;2010;0.066;total;252.292.682.475.402;14138255
Cameroon;CMR;2010;0.046;total;292.982.911.281.962;19598889
Canada;CAN;2010;0.093;total;406.993.551.293.841;34016593
Cape Verde;CPV;2010;0.065;total;582.824.158.804.338;495999
Chile;CHL;2010;0.119;total;194.420.503.154.635;17113688
China;CHN;2010;0.121;total;952.581.848.339.164;1341335152
Colombia;COL;2010;0.144;total;109.005.052.821.616;46294841
Comoros;COM;2010;0.201;total;141.250.268.663.997;734750
Congo;COG;2010;0.069;total;518.634.478.845.194;4042899
Costa Rica;CRI;2010;0.258;total;129.999.921.931.442;4658887
